Loc,Initial,Germ,SurvWk11,Pods,NumPods,NumSeeds,Herbivory,Mat,MatL,MatDam,MatSire,Pat,PatL,PatDam,PatSire,Block,EarliestGerm,EarliestFlowPod
5.2.4,5,0,0,0,0,0,0,4C2,4C,P29C,R81E,17D2,17D,Y126C,Y124D,5,NA,NA
5.2.5,5,0,0,0,0,0,0,2A1,2A,P64B,B88B,16C2,16C,331A,32A,5,NA,NA
5.2.6,5,0,0,0,0,0,0,13E2,13E,R82K,Y123G,10C1,10C,P83E,B112F,5,NA,NA
5.2.7,5,0,0,0,0,0,0,1B2,1B,14C,122C,20E2,20E,R88B,B86B,5,NA,NA
5.2.8,5,0,0,0,0,0,0,5D2,5D,B88A,B110E,12C1,12C,R85B,P71A,5,NA,NA
5.2.9,5,1,1,1,66,240,0,8C1,8C,140B,122B,7A1,7A,P64D,B86B,5,131,210
5.3.1,5,0,0,0,0,0,0,13C1,13C,331B,357B,8A1,8A,330A,139A,5,NA,NA
5.3.10,5,0,0,0,0,0,0,14A2,14A,Y125E,R83F,7E2,7E,130C,129B,5,NA,NA
5.3.11,5,0,0,0,0,0,0,13C2,13C,331B,357B,21B3,21B,P62B,R85A,5,NA,NA
5.3.12,5,0,0,0,0,0,0,5D3,5D,B88A,B110E,16E1,16E,136A,356A,5,NA,NA
5.3.13,5,1,1,1,6,14,0,9A3,9A,R88G,P63J,4C2,4C,P29C,R81E,5,146,217
5.3.14,5,0,0,0,0,0,0,2A5,2A,P64B,B88B,7A1,7A,P64D,B86B,5,NA,NA
5.3.15,5,0,0,0,0,0,0,5D2,5D,B88A,B110E,16E1,16E,136A,356A,5,NA,NA
5.3.16,5,0,0,0,0,0,0,6D5,6D,B22B,P27F,13B6,13B,P63B,Y123G,5,NA,NA
5.3.17,5,0,0,0,0,0,0,11D1,11D,140C,122C,7B3,7B,P64F,P29H,5,NA,NA
5.3.18,5,0,0,0,0,0,0,14A1,14A,Y125E,R83F,9D3,9D,P38C,R80H,5,NA,NA
5.3.19,5,1,1,0,0,0,0,8A2,8A,330A,139A,13C2,13C,331B,357B,5,146,NA
5.3.2,5,0,0,0,0,0,0,10B3,10B,P38D,R81E,13A2,13A,P71D,P29I,5,NA,NA
5.3.3,5,0,0,0,0,0,0,14A1,14A,Y125E,R83F,7E1,7E,130C,129B,5,NA,NA
5.3.4,5,0,0,0,0,0,0,10B3,10B,P38D,R81E,20E2,20E,R88B,B86B,5,NA,NA
5.3.5,5,1,1,1,3,6,0,13B6,13B,P63B,Y123G,21B1,21B,P62B,R85A,5,NA,NA
5.3.6,5,0,0,0,0,0,0,16E1,16E,136A,356A,5D2,5D,B88A,B110E,5,NA,NA
5.3.7,5,4,1,1,1,1,0,1B2,1B,14C,122C,19D1,19D,B113A,R84A,5,146,NA
5.3.8,5,0,0,0,0,0,0,13E1,13E,R82K,Y123G,14B2,14B,P83I,P29I,5,NA,NA
5.3.9,5,0,0,0,0,0,0,16D2,16D,337A,120B,20A3,20A,P83B,P62I,5,NA,NA
5.4.1,5,0,0,0,0,0,0,21B3,21B,P62B,R85A,13C1,13C,331B,357B,5,NA,NA
5.4.10,5,0,0,0,0,0,0,13C2,13C,331B,357B,15C2,15C,P100D,B22C,5,146,NA
5.4.11,5,1,1,0,0,0,0,1B2,1B,14C,122C,13A2,13A,P71D,P29I,5,NA,NA
5.4.12,5,0,0,0,0,0,0,7B2,7B,P64F,P29H,11D1,11D,140C,122C,5,NA,NA
5.4.13,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,2A5,2A,P64B,B88B,5,NA,NA
5.4.14,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,2A5,2A,P64B,B88B,5,NA,NA
5.4.15,5,0,0,0,0,0,0,16C1,16C,331A,32A,1E1,1E,31A,11A,5,NA,NA
5.4.16,5,0,0,0,0,0,0,13E1,13E,R82K,Y123G,10C1,10C,P83E,B112F,5,NA,NA
5.4.17,5,0,0,0,0,0,0,17D2,17D,Y126C,Y124D,7C2,7C,130A,129B,5,NA,NA
5.4.18,5,0,0,0,0,0,0,20E2,20E,R88B,B86B,1B2,1B,14C,122C,5,NA,NA
5.4.19,5,0,0,0,0,0,0,11C1,11C,R880,B45H,13B6,13B,P63B,Y123G,5,NA,NA
5.4.2,5,0,0,0,0,0,0,13C2,13C,331B,357B,8A1,8A,330A,139A,5,NA,NA
5.4.3,5,0,0,0,0,0,0,8A1,8A,330A,139A,13C2,13C,331B,357B,5,NA,NA
5.4.4,5,0,0,0,0,0,0,17D2,17D,Y126C,Y124D,9E1,9E,P29J,P29A,5,NA,NA
5.4.5,5,0,0,0,0,0,0,13C1,13C,331B,357B,8A2,8A,330A,139A,5,NA,NA
5.4.6,5,0,0,0,0,0,0,13C2,13C,331B,357B,8A2,8A,330A,139A,5,NA,NA
5.4.7,5,0,0,0,0,0,0,16C2,16C,331A,32A,2A1,2A,P64B,B88B,5,NA,NA
5.4.8,4,0,0,0,0,0,0,13E1,13E,R82K,Y123G,18C3,18C,P64C,R83F,5,NA,NA
5.4.9,5,0,0,0,0,0,0,13C1,13C,331B,357B,15C1,15C,P100D,B22C,5,NA,NA
5.5.1,5,0,0,0,0,0,0,16E1,16E,136A,356A,5D1,5D,B88A,B110E,5,NA,NA
5.5.10,5,0,0,0,0,0,0,7E1,7E,130C,129B,1D1,1D,P31C,P63A,5,NA,NA
5.5.11,5,2,2,1,2,1,0,10B1,10B,P38D,R81E,19D2,19D,B113A,R84A,5,173,NA
5.5.12,5,0,0,0,0,0,0,18C3,18C,P64C,R83F,13E1,13E,R82K,Y123G,5,NA,NA
5.5.13,5,1,1,0,0,0,0,11C2,11C,R880,B45H,13B6,13B,P63B,Y123G,5,147,NA
5.5.14,5,1,1,1,3,13,0,8C1,8C,140B,122B,20A3,20A,P83B,P62I,5,173,NA
5.5.15,5,0,0,0,0,0,0,16E1,16E,136A,356A,4A1,4A,P29E,B22C,5,NA,NA
5.5.16,5,0,0,0,0,0,0,5D1,5D,B88A,B110E,12C1,12C,R85B,P71A,5,NA,NA
5.5.17,5,0,0,0,0,0,0,9A3,9A,R88G,P63J,9E1,9E,P29J,P29A,5,NA,NA
5.5.18,5,0,0,0,0,0,0,18B2,18B,P62H,P71A,7E1,7E,130C,129B,5,NA,NA
5.5.19,5,0,0,0,0,0,0,8B1,8B,P31M,P63A,20E2,20E,R88B,B86B,5,NA,NA
5.5.2,5,0,0,0,0,0,0,13B5,13B,P63B,Y123G,3D1,3D,P27D,B22C,5,NA,NA
5.5.3,5,0,0,0,0,0,0,7B1,7B,P64F,P29H,11D1,11D,140C,122C,5,NA,NA
5.5.4,5,0,0,0,0,0,0,2A5,2A,P64B,B88B,20A3,20A,P83B,P62I,5,NA,NA
5.5.5,5,0,0,0,0,0,0,12C1,12C,R85B,P71A,5D1,5D,B88A,B110E,5,NA,NA
5.5.6,5,0,0,0,0,0,0,1D1,1D,P31C,P63A,7E1,7E,130C,129B,5,NA,NA
5.5.7,5,0,0,0,0,0,0,16E1,16E,136A,356A,5D3,5D,B88A,B110E,5,NA,NA
5.5.8,5,1,1,1,9,7,0,10B1,10B,P38D,R81E,19D3,19D,B113A,R84A,5,173,223
5.5.9,5,0,0,0,0,0,0,18C3,18C,P64C,R83F,13E2,13E,R82K,Y123G,5,NA,NA
